,id,max_quality,cost,capital,pur,price,period,id_group
0,0,26.0,79.0,821.02,0,80.0,0,0
0,1,4.0,14.0,1140.41,0,15.0,0,0
0,2,7.0,30.0,809.67,0,31.0,0,0
0,3,23.0,74.0,886.93,0,75.0,0,0
0,4,9.0,86.0,888.25,0,87.0,0,0
0,5,23.0,96.0,898.52,0,97.0,0,0
0,6,11.0,92.0,1254.92,0,93.0,0,0
0,7,15.0,99.0,1014.94,0,100.0,0,0
0,8,20.0,46.0,811.74,0,47.0,0,0
0,9,23.0,41.0,1751.69,0,42.0,0,0
0,10,20.0,46.0,726.73,0,47.0,0,1
0,11,27.0,64.0,1008.3,0,65.0,0,1
0,12,27.0,89.0,749.6,0,90.0,0,1
0,13,10.0,62.0,1765.81,0,63.0,0,1
0,14,24.0,62.0,1142.42,0,63.0,0,1
0,15,16.0,6.0,840.18,29,7.0,0,1
0,16,4.0,34.0,612.41,0,35.0,0,1
0,17,10.0,85.0,1126.79,0,86.0,0,1
0,18,19.0,90.0,891.32,0,91.0,0,1
0,19,4.0,91.0,1036.99,0,92.0,0,1
0,20,6.0,74.0,1034.29,0,75.0,0,2
0,21,28.0,58.0,1055.41,0,59.0,0,2
0,22,20.0,8.0,1075.69,0,9.0,0,2
0,23,12.0,5.0,1001.41,20,6.0,0,2
0,24,19.0,88.0,1147.78,0,89.0,0,2
0,25,18.0,62.0,641.27,0,63.0,0,2
0,26,14.0,7.0,100.2,0,8.0,0,2
0,27,27.0,60.0,622.8,0,61.0,0,2
0,28,2.0,39.0,910.96,0,40.0,0,2
0,29,27.0,36.0,603.51,0,37.0,0,2
0,30,2.0,44.0,1380.85,0,45.0,0,3
0,31,5.0,66.0,1557.01,0,67.0,0,3
0,32,8.0,82.0,991.65,0,83.0,0,3
0,33,7.0,87.0,921.09,0,88.0,0,3
0,34,16.0,25.0,1528.0,0,26.0,0,3
0,35,26.0,55.0,971.27,0,56.0,0,3
0,36,30.0,57.0,1088.49,150,58.0,0,3
0,37,8.0,62.0,568.26,0,63.0,0,3
0,38,21.0,67.0,779.98,0,68.0,0,3
0,39,16.0,86.0,960.84,0,87.0,0,3
0,40,27.0,7.0,598.96,33,8.0,0,4
0,41,22.0,32.0,642.56,0,33.0,0,4
0,42,6.0,12.0,1503.81,0,13.0,0,4
0,43,7.0,58.0,284.88,0,59.0,0,4
0,44,28.0,8.0,3192.06,1724,9.0,0,4
0,45,5.0,41.0,1061.65,0,42.0,0,4
0,46,3.0,15.0,669.14,0,16.0,0,4
0,47,10.0,60.0,1533.48,0,61.0,0,4
0,48,24.0,16.0,1885.49,0,17.0,0,4
0,49,12.0,81.0,868.68,0,82.0,0,4
0,0,33.0,75.65,687.47,0,76.65,1,0
0,1,5.0,18.94,1073.37,0,19.94,1,0
0,2,9.0,39.91,673.64,0,40.91,1,0
0,3,21.0,68.65,795.33,0,69.65,1,0
0,4,8.0,81.56,825.44,0,82.56,1,0
0,5,28.0,99.22,748.82,0,100.22,1,0
0,6,9.0,86.9,1155.59,0,87.9,1,0
0,7,12.0,92.45,940.86,0,93.45,1,0
0,8,24.0,37.58,688.8,0,38.58,1,0
0,9,21.0,36.88,1687.26,0,37.88,1,0
0,10,20.0,35.14,617.93,0,36.14,1,1
0,11,28.0,64.54,927.5,0,65.54,1,1
0,12,27.0,92.66,746.82,0,93.66,1,1
0,13,11.0,53.29,1748.21,0,54.29,1,1
0,14,23.0,61.7,1051.53,0,62.7,1,1
0,15,17.0,3.84,733.03,17,4.84,1,1
0,16,4.0,35.36,535.58,0,36.36,1,1
0,17,6.0,92.52,1011.04,0,93.52,1,1
0,18,17.0,90.96,753.11,0,91.96,1,1
0,19,5.0,92.99,965.78,0,93.99,1,1
0,20,6.0,76.92,1017.92,0,77.92,1,2
0,21,27.0,59.76,991.29,0,60.76,1,2
0,22,20.0,6.43,1065.69,0,7.43,1,2
0,23,16.0,11.2,948.47,0,12.2,1,2
0,24,18.0,86.32,997.2,0,87.32,1,2
0,25,23.0,61.16,598.08,0,62.16,1,2
0,26,14.0,7.0,100.2,0,8.0,1,2
0,27,25.0,58.58,614.87,0,59.58,1,2
0,28,3.0,33.51,768.13,0,34.51,1,2
0,29,27.0,32.02,447.9,0,33.02,1,2
0,30,1.0,47.58,1338.94,0,48.58,1,3
0,31,3.0,67.73,1459.17,0,68.73,1,3
0,32,7.0,81.34,897.67,0,82.34,1,3
0,33,4.0,94.44,868.8,0,95.44,1,3
0,34,14.0,24.1,1399.05,0,25.1,1,3
0,35,29.0,48.16,794.86,0,49.16,1,3
0,36,36.0,65.12,1027.06,88,66.12,1,3
0,37,8.0,70.41,503.77,0,71.41,1,3
0,38,20.0,68.32,718.58,0,69.32,1,3
0,39,21.0,81.79,885.68,0,82.79,1,3
0,40,29.0,6.2,588.96,0,7.2,1,4
