id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
0,22.0,14.0,1424.31,141,15.0,0,,,,,,,,
1,21.0,13.0,1587.39,54,14.0,0,,,,,,,,
2,6.0,70.0,886.08,0,71.0,0,,,,,,,,
3,16.0,98.0,1100.56,0,99.0,0,,,,,,,,
4,15.0,6.0,1472.28,247,7.0,0,,,,,,,,
5,7.0,83.0,534.26,0,84.0,0,,,,,,,,
6,15.0,96.0,608.13,0,97.0,0,,,,,,,,
7,12.0,50.0,1148.15,0,51.0,0,,,,,,,,
8,18.0,84.0,1047.05,0,85.0,0,,,,,,,,
9,3.0,31.0,1178.47,0,32.0,0,,,,,,,,
10,18.0,62.0,975.24,0,63.0,0,,,,,,,,
11,28.0,36.0,1298.93,151,37.0,0,,,,,,,,
12,7.0,85.0,792.29,0,86.0,0,,,,,,,,
13,2.0,62.0,1111.74,0,63.0,0,,,,,,,,
14,4.0,31.0,807.32,0,32.0,0,,,,,,,,
15,10.0,63.0,1195.94,0,64.0,0,,,,,,,,
16,26.0,85.0,916.83,0,86.0,0,,,,,,,,
17,9.0,15.0,1254.08,0,16.0,0,,,,,,,,
18,20.0,94.0,709.54,0,95.0,0,,,,,,,,
19,20.0,79.0,1140.41,0,80.0,0,,,,,,,,
20,26.0,17.0,1933.39,905,18.0,0,,,,,,,,
21,3.0,31.0,1417.76,0,32.0,0,,,,,,,,
22,2.0,33.0,1108.22,0,34.0,0,,,,,,,,
23,25.0,25.0,1007.18,0,26.0,0,,,,,,,,
24,16.0,24.0,789.0,0,25.0,0,,,,,,,,
25,30.0,41.0,1390.69,434,42.0,0,,,,,,,,
26,28.0,80.0,1171.23,0,81.0,0,,,,,,,,
27,17.0,31.0,910.13,0,32.0,0,,,,,,,,
28,19.0,47.0,814.27,0,48.0,0,,,,,,,,
29,11.0,99.0,440.7,0,100.0,0,,,,,,,,
30,25.0,88.0,885.42,0,89.0,0,,,,,,,,
31,27.0,39.0,1112.34,0,40.0,0,,,,,,,,
32,12.0,38.0,837.79,0,39.0,0,,,,,,,,
33,27.0,88.0,1038.41,0,89.0,0,,,,,,,,
34,11.0,61.0,978.94,0,62.0,0,,,,,,,,
35,16.0,23.0,1144.8,0,24.0,0,,,,,,,,
36,14.0,28.0,968.27,0,29.0,0,,,,,,,,
37,21.0,48.0,1362.13,0,49.0,0,,,,,,,,
38,25.0,76.0,1324.6,0,77.0,0,,,,,,,,
39,24.0,48.0,1243.89,0,49.0,0,,,,,,,,
40,22.0,70.0,1071.37,0,71.0,0,,,,,,,,
41,11.0,30.0,893.58,0,31.0,0,,,,,,,,
42,5.0,66.0,1053.66,0,67.0,0,,,,,,,,
43,21.0,48.0,1008.16,0,49.0,0,,,,,,,,
44,27.0,65.0,1024.73,0,66.0,0,,,,,,,,
45,19.0,22.0,878.7,0,23.0,0,,,,,,,,
46,14.0,70.0,1311.17,0,71.0,0,,,,,,,,
47,22.0,87.0,874.54,0,88.0,0,,,,,,,,
48,2.0,51.0,1408.04,0,52.0,0,,,,,,,,
49,9.0,81.0,1189.92,0,82.0,0,,,,,,,,
0,16.0,4.45,1308.58,0,5.45,1,49.0,21.0,0.0,1362.13,-43.55,-5.0,0.0,-53.55000000000018
1,20.0,2.68,1448.69,0,3.68,1,48.0,19.0,0.0,814.27,-44.32,1.0,0.0,634.4200000000001
2,4.0,75.68,751.15,0,76.68,1,100.0,11.0,0.0,440.7,-23.319999999999993,-7.0,0.0,310.45
3,20.0,97.69,988.26,0,98.69,1,89.0,25.0,0.0,885.42,9.689999999999998,-5.0,0.0,102.84000000000003
4,20.0,2.45,2041.63,721,3.45,1,40.0,27.0,0.0,1112.34,-36.55,-7.0,721.0,929.2900000000002
5,9.0,80.97,466.38,0,81.97,1,39.0,12.0,0.0,837.79,42.97,-3.0,0.0,-371.40999999999997
6,15.0,97.65,600.6,0,98.65,1,89.0,27.0,0.0,1038.41,9.650000000000006,-12.0,0.0,-437.81000000000006
7,9.0,46.47,899.89,0,47.47,1,32.0,17.0,0.0,910.13,15.469999999999999,-8.0,0.0,-10.240000000000009
8,16.0,83.26,1013.61,0,84.26,1,62.0,11.0,0.0,978.94,22.260000000000005,5.0,0.0,34.66999999999996
9,3.0,28.04,1125.92,0,29.04,1,24.0,16.0,0.0,1144.8,5.039999999999999,-13.0,0.0,-18.87999999999988
10,18.0,68.66,828.3,0,69.66,1,77.0,25.0,0.0,1324.6,-7.340000000000003,-7.0,0.0,-496.29999999999995
11,26.0,41.6,1157.7,0,42.6,1,49.0,21.0,0.0,1008.16,-6.399999999999999,5.0,0.0,149.54000000000008
