,price,spr,share
0,1,20000,1.0
1,2,20000,1.0
2,3,20000,1.0
3,4,19999,0.99995
4,5,19999,0.99995
5,6,19999,0.99995
6,7,19998,0.9999
7,8,19998,0.9999
8,9,19996,0.9998
9,10,19995,0.99975
10,11,19992,0.9996
11,12,19989,0.99945
12,13,19987,0.99935
13,14,19978,0.9989
14,15,19969,0.99845
15,16,19942,0.9971
16,17,19928,0.9964
17,18,19902,0.9951
18,19,19863,0.99315
19,20,19825,0.99125
20,21,19774,0.9887
21,22,19712,0.9856
22,23,19636,0.9818
23,24,19554,0.9777
24,25,19438,0.9719
25,26,19301,0.96505
26,27,19112,0.9556
27,28,18905,0.94525
28,29,18692,0.9346
29,30,18406,0.9203
30,31,18068,0.9034
31,32,17721,0.88605
32,33,17300,0.865
33,34,16853,0.84265
34,35,16378,0.8189
35,36,15812,0.7906
36,37,15201,0.76005
37,38,14506,0.7253
38,39,13821,0.69105
39,40,13109,0.65545
40,41,12345,0.61725
41,42,11599,0.57995
42,43,10800,0.54
43,44,10046,0.5023
44,45,9231,0.46155
45,46,8455,0.42275
46,47,7675,0.38375
47,48,6940,0.347
48,49,6206,0.3103
49,50,5506,0.2753
50,51,4839,0.24195
51,52,4239,0.21195
52,53,3676,0.1838
53,54,3199,0.15995
54,55,2735,0.13675
55,56,2318,0.1159
56,57,1947,0.09735
57,58,1622,0.0811
58,59,1339,0.06695
59,60,1106,0.0553
60,61,894,0.0447
61,62,718,0.0359
62,63,593,0.02965
63,64,479,0.02395
64,65,378,0.0189
65,66,285,0.01425
66,67,215,0.01075
67,68,147,0.00735
68,69,112,0.0056
69,70,75,0.00375
70,71,59,0.00295
71,72,37,0.00185
72,73,28,0.0014
73,74,21,0.00105
74,75,18,0.0009
75,76,16,0.0008
76,77,13,0.00065
77,78,10,0.0005
78,79,9,0.00045
79,80,5,0.00025
80,81,1,5e-05
81,82,1,5e-05
82,83,1,5e-05
83,84,1,5e-05
84,85,1,5e-05
85,86,0,0.0
86,87,0,0.0
87,88,0,0.0
88,89,0,0.0
89,90,0,0.0
90,91,0,0.0
91,92,0,0.0
92,93,0,0.0
93,94,0,0.0
94,95,0,0.0
95,96,0,0.0
96,97,0,0.0
97,98,0,0.0
98,99,0,0.0
99,100,0,0.0
