,price,spr,share
0,1,20000,1.0
1,2,20000,1.0
2,3,20000,1.0
3,4,20000,1.0
4,5,20000,1.0
5,6,20000,1.0
6,7,20000,1.0
7,8,20000,1.0
8,9,20000,1.0
9,10,19774,0.9887
10,11,19548,0.9774
11,12,19335,0.96675
12,13,19103,0.95515
13,14,18879,0.94395
14,15,18660,0.933
15,16,18432,0.9216
16,17,18237,0.91185
17,18,18027,0.90135
18,19,17798,0.8899
19,20,17545,0.87725
20,21,17328,0.8664
21,22,17103,0.85515
22,23,16932,0.8466
23,24,16710,0.8355
24,25,16481,0.82405
25,26,16282,0.8141
26,27,16035,0.80175
27,28,15832,0.7916
28,29,15604,0.7802
29,30,15393,0.76965
30,31,15167,0.75835
31,32,14961,0.74805
32,33,14741,0.73705
33,34,14526,0.7263
34,35,14311,0.71555
35,36,14099,0.70495
36,37,13886,0.6943
37,38,13678,0.6839
38,39,13469,0.67345
39,40,13229,0.66145
40,41,13013,0.65065
41,42,12783,0.63915
42,43,12581,0.62905
43,44,12345,0.61725
44,45,12092,0.6046
45,46,11866,0.5933
46,47,11677,0.58385
47,48,11472,0.5736
48,49,11231,0.56155
49,50,10997,0.54985
50,51,10784,0.5392
51,52,10577,0.52885
52,53,10337,0.51685
53,54,10132,0.5066
54,55,9904,0.4952
55,56,9687,0.48435
56,57,9453,0.47265
57,58,9216,0.4608
58,59,9026,0.4513
59,60,8835,0.44175
60,61,8631,0.43155
61,62,8415,0.42075
62,63,8201,0.41005
63,64,7989,0.39945
64,65,7787,0.38935
65,66,7550,0.3775
66,67,7325,0.36625
67,68,7104,0.3552
68,69,6869,0.34345
69,70,6642,0.3321
70,71,6415,0.32075
71,72,6187,0.30935
72,73,5951,0.29755
73,74,5710,0.2855
74,75,5482,0.2741
75,76,5261,0.26305
76,77,5036,0.2518
77,78,4805,0.24025
78,79,4555,0.22775
79,80,4346,0.2173
80,81,4121,0.20605
81,82,3917,0.19585
82,83,3678,0.1839
83,84,3465,0.17325
84,85,3265,0.16325
85,86,3049,0.15245
86,87,2828,0.1414
87,88,2610,0.1305
88,89,2395,0.11975
89,90,2169,0.10845
90,91,1950,0.0975
91,92,1744,0.0872
92,93,1538,0.0769
93,94,1318,0.0659
94,95,1097,0.05485
95,96,878,0.0439
96,97,647,0.03235
97,98,439,0.02195
98,99,222,0.0111
99,100,0,0.0
